ID,Set_name,Name,Armor_type,set_variant,rank,rarity,slot_1,slot_2,slot_3,defense,fire_res,water_res,thunder_res,ice_res,dragon_res,skill_1,skill_1_level,skill_2,skill_2_level,skill_3,skill_3_level,group_skill, set_bonus_skill
1,Alloy,Alloy_Vambraces,Arms,NA,Low_Rank,1,NA,NA,NA,6,-2,1,-2,-2,1,Tremor_Resistance,1,NA,NA,NA,NA,NA,NA
2,Alloy,Alloy_Coil,Waist,NA,Low_Rank,1,NA,NA,NA,6,-2,1,-2,-2,1,Tremor_Resistance,1,NA,NA,NA,NA,NA,NA
3,Alloy,Alloy_Greaves,Legs,NA,Low_Rank,1,NA,NA,NA,6,-2,1,-2,-2,1,Quick_Sheathe,1,NA,NA,NA,NA,NA,NA
4,Alloy,Alloy_Helm,Helm,NA,Low_Rank,1,NA,NA,NA,6,-2,1,-2,-2,1,Quick_Sheathe,1,NA,NA,NA,NA,NA,NA
5,Alloy,Alloy_Mail,Chest,NA,Low_Rank,1,NA,NA,NA,6,-2,1,-2,-2,1,Tremor_Resistance,1,NA,NA,NA,NA,NA,NA
6,Barina,Barina_Vambraces,Arms,NA,Low_Rank,1,NA,NA,NA,8,-3,3,0,0,3,Recovery_Up,1,NA,NA,NA,NA,Neopteron_Alert,NA
7,Barina,Barina_Coil,Waist,NA,Low_Rank,1,NA,NA,NA,8,-3,3,0,0,3,Recovery_Up,1,NA,NA,NA,NA,Neopteron_Alert,NA
8,Barina,Barina_Greaves,Legs,NA,Low_Rank,1,NA,NA,NA,8,-3,3,0,0,3,Recovery_Up,1,NA,NA,NA,NA,Neopteron_Alert,NA
9,Barina,Barina_Headgear,Helm,NA,Low_Rank,1,NA,NA,NA,8,-3,3,0,0,3,Paralysis_Resistance,1,NA,NA,NA,NA,Neopteron_Alert,NA
10,Barina,Barina_Mail,Chest,NA,Low_Rank,1,NA,NA,NA,8,-3,3,0,0,3,Paralysis_Resistance,1,NA,NA,NA,NA,Neopteron_Alert,NA
11,Bone,Bone_Vambraces,Arms,NA,Low_Rank,1,NA,NA,NA,4,2,0,2,0,2,Stun_Resistance,1,NA,NA,NA,NA,NA,NA
12,Bone,Bone_Coil,Waist,NA,Low_Rank,1,NA,NA,NA,4,2,0,2,0,2,Marathon_Runner,1,NA,NA,NA,NA,NA,NA
13,Bone,Bone_Greaves,Legs,NA,Low_Rank,1,NA,NA,NA,4,2,0,2,0,2,Stun_Resistance,1,NA,NA,NA,NA,NA,NA
14,Bone,Bone_Helm,Helm,NA,Low_Rank,1,NA,NA,NA,4,2,0,2,0,2,Marathon_Runner,1,NA,NA,NA,NA,NA,NA
15,Bone,Bone_Mail,Chest,NA,Low_Rank,1,NA,NA,NA,4,2,0,2,0,2,Marathon_Runner,1,NA,NA,NA,NA,NA,NA
16,Bulaqchi,Bulaqchi_Specs,Helm,NA,Low_Rank,1,NA,NA,NA,4,-4,1,1,-2,4,Entomologist,1,NA,NA,NA,NA,Neopteron_Alert,NA
