id,name,skill_1_name,skill_1_level,skill_2_name,skill_2_level,size
1,Adapt_Jewel_1,Adaptability,1,NA,NA,1
2,Ambush_Jewel_2,Ambush,1,NA,NA,2
3,Antiblast_Jewel_1,Blast_Resistance,1,NA,NA,1
4,Antidote_Jewel_1,Poison_Resistance,1,NA,NA,1
5,Antipara_Jewel_1,Paralysis_Resistance,1,NA,NA,1
6,Artillery_Jewel_1,Artillery,1,NA,NA,1
7,Artillery_Jewel_II_2,Artillery,2,NA,NA,2
8,Artillery_Jewel_III_3,Artillery,3,NA,NA,3
9,Attack_Jewel_1,Attack_Boost,1,NA,NA,1
10,Attack_Jewel_II_2,Attack_Boost,2,NA,NA,2
11,Attack_Jewel_III_3,Attack_Boost,3,NA,NA,3
12,Bandolier_Jewel_1,Tetrad_Shot,1,NA,NA,1
13,Bandolier_Jewel_II_2,Tetrad_Shot,2,NA,NA,2
14,Bandolier_Jewel_III_3,Tetrad_Shot,3,NA,NA,3
15,Bandolier-Blaze_Jwl_3,Tetrad_Shot,3,Fire_Attack,1,3
16,Bandolier-Bolt_Jwl_3,Tetrad_Shot,3,Thunder_Attack,1,3
17,Bandolier-Dragon_Jwl_3,Tetrad_Shot,3,Dragon_Attack,1,3
18,Bandolier-Frost_Jwl_3,Tetrad_Shot,3,Ice_Attack,1,3
19,Bandolier-Ironwall_Jwl_3,Tetrad_Shot,3,Guard,1,3
20,Bandolier-Precise_Jwl_3,Tetrad_Shot,3,Ballistics,1,3
21,Bandolier-Stream_Jwl_3,Tetrad_Shot,3,Water_Attack,1,3
22,Blast_Jewel_1,Blast_Attack,1,NA,NA,1
23,Blast_Jewel_II_2,Blast_Attack,2,NA,NA,2
24,Blast_Jewel_III_3,Blast_Attack,3,NA,NA,3
25,Blastcoat_Jewel_2,Blast_Functionality,1,NA,NA,2
26,Blaze_Jewel_1,Fire_Attack,1,NA,NA,1
27,Blaze_Jewel_II_2,Fire_Attack,2,NA,NA,2
28,Blaze_Jewel_III_3,Fire_Attack,3,NA,NA,3
29,Blaze-Bandolier_Jwl_3,Fire_Attack,3,Tetrad_Shot,1,3
30,Blaze-Crit_Elem_Jwl_3,Fire_Attack,3,Critical_Element,1,3
31,Blaze-Enhancer_Jwl_3,Fire_Attack,3,Power_Prolonger,1,3
32,Blaze-Focus_Jewel_3,Fire_Attack,3,Focus,1,3
33,Blaze-Guardian_Jewel_3,Fire_Attack,3,Offensive_Guard,1,3
34,Blaze-Handicraft_Jwl_3,Fire_Attack,3,Handicraft,1,3
35,Blaze-Ironwall_Jwl_3,Fire_Attack,3,Guard,1,3
36,Blaze-KO_Jewel_3,Fire_Attack,3,Slugger,1,3
37,Blaze-Opener_Jewel_3,Fire_Attack,3,Opening_Shot,1,3
38,Blaze-Precise_Jewel_3,Fire_Attack,3,Ballistics,1,3
39,Blaze-Quickswitch_Jwl_3,Fire_Attack,3,Rapid_Morph,1,3
40,Blaze-Rzr_Sharp_Jwl_3,Fire_Attack,3,Razor_Sharp,1,3
41,Blaze-Shield_Jewel_3,Fire_Attack,3,Guard_Up,1,3
42,Blunt_Jewel_1,Bludgeoner,1,NA,NA,1
43,Blunt_Jewel_II_2,Bludgeoner,2,NA,NA,2
44,Blunt_Jewel_III_3,Bludgeoner,3,NA,NA,3
45,Bolt_Jewel_1,Thunder_Attack,1,NA,NA,1
46,Bolt_Jewel_II_2,Thunder_Attack,2,NA,NA,2
47,Bolt_Jewel_III_3,Thunder_Attack,3,NA,NA,3
48,Bolt-Bandolier_Jwl_3,Thunder_Attack,3,Tetrad_Shot,1,3
49,Bolt-Crit_Elem_Jwl_3,Thunder_Attack,3,Critical_Element,1,3
50,Bolt-Enhancer_Jwl_3,Thunder_Attack,3,Power_Prolonger,1,3
51,Bolt-Focus_Jewel_3,Thunder_Attack,3,Focus,1,3
52,Bolt-Guardian_Jwl_3,Thunder_Attack,3,Offensive_Guard,1,3
53,Bolt-Handicraft_Jwl_3,Thunder_Attack,3,Handicraft,1,3
54,Bolt-Ironwall_Jewel_3,Thunder_Attack,3,Guard,1,3
55,Bolt-KO_Jewel_3,Thunder_Attack,3,Slugger,1,3
56,Bolt-Opener_Jewel_3,Thunder_Attack,3,Opening_Shot,1,3
57,Bolt-Precise_Jewel_3,Thunder_Attack,3,Ballistics,1,3
58,Bolt-Quickswitch_Jwl_3,Thunder_Attack,3,Rapid_Morph,1,3
59,Bolt-Rzr_Sharp_Jwl_3,Thunder_Attack,3,Razor_Sharp,1,3
60,Bolt-Shield_Jewel_3,Thunder_Attack,3,Guard_Up,1,3
61,Bomber_Jewel_1,Bombardier,1,NA,NA,1
62,Botany_Jewel_1,Botanist,1,NA,NA,1
63,Brace_Jewel_1,Flinch_Free,1,NA,NA,1
64,Chain_Jewel_3,Burst,1,NA,NA,3
65,Challenger_Jewel_3,Agitator,1,NA,NA,3
66,Charge_Jewel_1,Charge_Master,1,NA,NA,1
67,Charge_Jewel_II_2,Charge_Master,2,NA,NA,2
68,Charge_Jewel_III_3,Charge_Master,3,NA,NA,3
69,Charge_Up_Jewel_2,Charge_Up,2,NA,NA,2
70,Charge_Up-Attack_Jwl_3,Charge_Up,1,Attack_Boost,1,3
71,Charge_Up-Draw_Jwl_3,Charge_Up,1,Critical_Draw,1,3
72,Charge_Up-Expert_Jwl_3,Charge_Up,1,Critical_Eye,1,3
73,Charge_Up-Handicraft_Jwl_3,Charge_Up,1,Handicraft,1,3
74,Charge_Up-KO_Jewel_3,Charge_Up,1,Slugger,1,3
75,Charge-Handicraft_Jwl_3,Charge_Master,1,Handicraft,1,3
76,Charge-KO_Jewel_3,Charge_Master,1,Slugger,1,3
77,Climber_Jewel_1,Cliffhanger,1,NA,NA,1
78,Counter_Jewel_2,Counterstrike,1,NA,NA,2
79,Counterattack_Jewel_3,Adrenaline_Rush,1,NA,NA,3
80,Crit_Elem_Jwl_III_3,Critical_Element,3,NA,NA,3
81,Crit_Elem-Blaze_Jwl_3,Critical_Element,3,Fire_Attack,1,3
82,Crit_Elem-Bolt_Jwl_3,Critical_Element,3,Thunder_Attack,1,3
83,Crit_Elem-Dragon_Jwl_3,Critical_Element,3,Dragon_Attack,1,3
84,Crit_Elem-Frost_Jwl_3,Critical_Element,3,Ice_Attack,1,3
85,Crit_Elem-Handicraft_Jwl_3,Critical_Element,3,Handicraft,1,3
86,Crit_Elem-Ironwall_Jwl_3,Critical_Element,3,Guard,1,3
87,Crit_Elem-KO_Jewel_3,Critical_Element,3,Slugger,1,3
88,Crit_Elem-Stream_Jwl_3,Critical_Element,3,Water_Attack,1,3
89,Crit_Element_Jewel_1,Critical_Element,1,NA,NA,1
90,Crit_Element_Jewel_II_2,Critical_Element,2,NA,NA,2
91,Crit_Element-Precise_Jwl_3,Critical_Element,3,Ballistics,1,3
92,Crit_Stat_Jwl_III_3,Critical_Status,3,NA,NA,3
93,Crit_Stat-Handicraft_Jwl_3,Critical_Status,3,Handicraft,1,3
94,Crit_Stat-Ironwall_Jwl_3,Critical_Status,3,Guard,1,3
95,Crit_Stat-Precise_Jwl_3,Critical_Status,3,Ballistics,1,3
96,Crit_Status_Jewel_1,Critical_Status,1,NA,NA,1
97,Crit_Status_Jewel_II_2,Critical_Status,2,NA,NA,2
98,Crit_Status-KO_Jwl_3,Critical_Status,3,Slugger,1,3
99,Critical_Jewel_1,Critical_Boost,1,NA,NA,1
100,Critical_Jewel_II_2,Critical_Boost,2,NA,NA,2
101,Critical_Jewel_III_3,Critical_Boost,3,NA,NA,3
102,Def_Lock_Jewel_1,Iron_Skin,1,NA,NA,1
103,Defense_Jewel_1,Defense_Boost,1,NA,NA,1
104,Destroyer_Jewel_2,Partbreaker,1,NA,NA,2
105,Dive_Jewel_1,Leap_of_Faith,1,NA,NA,1
106,Dragon_Jewel_1,Dragon_Attack,1,NA,NA,1
107,Dragon_Jewel_II_2,Dragon_Attack,2,NA,NA,2
108,Dragon_Jewel_III_3,Dragon_Attack,3,NA,NA,3
109,Dragon_Res_Jewel_1,Dragon_Resistance,1,NA,NA,1
110,Dragon-Bandolier_Jwl_3,Dragon_Attack,3,Tetrad_Shot,1,3
111,Dragon-Crit_Elem_Jwl_3,Dragon_Attack,3,Critical_Element,1,3
112,Dragon-Enhancer_Jwl_3,Dragon_Attack,3,Power_Prolonger,1,3
113,Dragon-Focus_Jewel_3,Dragon_Attack,3,Focus,1,3
114,Dragon-Guardian_Jwl_3,Dragon_Attack,3,Offensive_Guard,1,3
115,Dragon-Handicraft_Jwl_3,Dragon_Attack,3,Handicraft,1,3
116,Dragon-Ironwall_Jwl_3,Dragon_Attack,3,Guard,1,3
117,Dragon-KO_Jewel_3,Dragon_Attack,3,Slugger,1,3
118,Dragon-Opener_Jewel_3,Dragon_Attack,3,Opening_Shot,1,3
119,Dragon-Precise_Jewel_3,Dragon_Attack,3,Ballistics,1,3
120,Dragon-Quickswitch_Jwl_3,Dragon_Attack,3,Rapid_Morph,1,3
121,Dragon-Rzr_Sharp_Jwl_3,Dragon_Attack,3,Razor_Sharp,1,3
122,Dragon-Shield_Jewel_3,Dragon_Attack,3,Guard_Up,1,3
123,Drain_Jewel_1,Stamina_Thief,1,NA,NA,1
124,Drain_Jewel_II_2,Stamina_Thief,2,NA,NA,2
125,Drain_Jewel_III_3,Stamina_Thief,3,NA,NA,3
126,Draincoat_Jewel_2,Exhaust_Functionality,2,NA,NA,2
127,Draw_Jewel_1,Critical_Draw,1,NA,NA,1
128,Draw_Jewel_II_2,Critical_Draw,2,NA,NA,2
