name,type,description,max_level,level_1_effect,level_2_effect,level_3_effect,level_4_effect,level_5_effect,level_6_effect,level_7_effect
Convert Water Resistance,Weapon Skill,Increases your weapon's elemental attack proportional to your water resistance.,1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Attack Boost,Weapon Skill,Increases attack power.,5,Attack +3,Attack +5,Attack +7,Attack +2% Bonus: +8,Attack +4% Bonus: +9,NA,NA
Resentment,Armor Skill,"Increases attack when you have recoverable damage (the red portion of your Health Gauge).",5,Attack +5 while active.,Attack +10 while active.,Attack +15 while active.,Attack +20 while active.,Attack +25 while active.,NA,NA
Adrenaline Rush,Armor Skill,Temporarily increases attack power after executing a perfectly-timed evade just as a monster attacks.,5,Attack +10 while active.,Attack +15 while active.,Attack +20 while active.,Attack +25 while active.,Attack +30 while active.,NA,NA
Offensive Guard,Weapon Skill,Temporarily increases attack power after executing a perfectly-timed guard.,3,Attack +5% while active.,Attack +10% while active.,Attack +15% while active.,NA,NA,NA,NA
Shattering Reflection,Weapon Skill,Level 3 charged slashes deal area-of-effect damage upon hitting the ground.,1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Peak Performance,Armor Skill,Increases attack when your health is full.,5,Attack +3 while active.,Attack +6 while active.,Attack +10 while active.,Attack +15 while active.,Attack +20 while active.,NA,NA
Counterstrike,Armor Skill,Temporarily increases attack power after being knocked back.,3,Attack +10 while active.,Attack +15 while active. Moderately extends effect time.,Attack +25 while active. Extends effect time.,NA,NA,NA,NA
Critical Boost,Weapon Skill,Increases the damage of critical hits.,5,Increases damage dealt by critical hits to 28%.,Increases damage dealt by critical hits to 31%.,Increases damage dealt by critical hits to 34%.,Increases damage dealt by critical hits to 37%.,Increases damage dealt by critical hits to 40%.,NA,NA
Critical Eye,Weapon Skill,Increases affinity.,5,Affinity +4%,Affinity +8%,Affinity +12%,Affinity +16%,Affinity +20%,NA,NA
Critical Draw,Weapon Skill,Increases affinity when performing draw attacks. (Not effective while riding.),3,Affinity +50%,Affinity +75%,Affinity +100%,NA,NA,NA,NA
Weakness Exploit,Armor Skill,"Increases the affinity of attacks that exploit a monster's weak points and wounds.",5,"Attacks that hit weak points gain affinity +5%, with an extra 3% on wounds.","Attacks that hit weak points gain affinity +10%, with an extra 5% on wounds.","Attacks that hit weak points gain affinity +15%, with an extra 10% on wounds.","Attacks that hit weak points have 20% increased affinity, with an extra 15% on wounds.","Attacks that hit weak points have 30% increased affinity, with an extra 20% on wounds.",NA,NA
Maximum Might,Armor Skill,Increases affinity if stamina is kept full for a period of time.,3,Affinity +10% while active,Affinity +20% while active,Affinity +30% while active,NA,NA,NA,NA
Fire Attack,Decoration Skill,"Increases fire element attack power. (Elemental attack power has a maximum limit.)",3,Fire attack +40,Fire attack +10% Bonus: +50,Fire attack +20% Bonus: +60,NA,NA,NA,NA
Water Attack,Decoration Skill,"Increases water element attack power. (Elemental attack power has a maximum limit.)",3,Water attack +40,Water attack +10% Bonus: +50,Water attack +20% Bonus: +60,NA,NA,NA,NA
Thunder Attack,Decoration Skill,"Increases thunder element attack power. (Elemental attack power has a maximum limit.)",3,Thunder attack +40,Thunder attack +10% Bonus: +50,Thunder attack +20% Bonus: +60,NA,NA,NA,NA
Ice Attack,Decoration Skill,"Increases ice element attack power. (Elemental attack power has a maximum limit.)",3,Ice attack +40,Ice attack +10% Bonus: +50,Ice attack +20% Bonus: +60,NA,NA,NA,NA
Dragon Attack,Decoration Skill,"Increases dragon element attack power. (Elemental attack power has a maximum limit.)",3,Dragon attack +40,Dragon attack +10% Bonus: +50,Dragon attack +20% Bonus: +60,NA,NA,NA,NA
Poison Attack,Decoration Skill,"Increases the rate of poison buildup. (Poison buildup has a maximum limit.)",3,Poison buildup +5% Bonus: +10,Poison buildup +10% Bonus: +20,Poison buildup +20% Bonus: +50,NA,NA,NA,NA
Paralysis Attack,Decoration Skill,"Increases the rate of paralysis buildup. (Paralysis buildup has a maximum limit.)",3,Paralysis buildup +5% Bonus: +10,Paralysis buildup +10% Bonus: +20,Paralysis buildup +20% Bonus: +50,NA,NA,NA,NA
Sleep Attack,Decoration Skill,"Increases the rate of sleep buildup. (Sleep buildup has a maximum limit.)",3,Sleep buildup +5% Bonus: +10,Sleep buildup +10% Bonus: +20,Sleep buildup +20% Bonus: +50,NA,NA,NA,NA
Blast Attack,Decoration Skill,"Increases the rate of blast buildup. (Blast buildup has a maximum limit.)",3,Blast buildup +5% Bonus: +10,Blast buildup +10% Bonus: +20,Blast buildup +20% Bonus: +50,NA,NA,NA,NA
Critical Element,Weapon Skill,"Increases elemental damage (fire, water, thunder, ice, dragon) when landing critical hits.",3,Slightly increases elemental damage while active.,Increases elemental damage while active.,Greatly increases elemental damage while active.,NA,NA,NA,NA
Critical Status,Weapon Skill,"Increases abnormal status effects (paralysis, poison, sleep, blast) when landing critical hits.",3,Slightly increases abnormal status effects when landing critical hits.,Increases abnormal status effects when landing critical hits.,Greatly increases abnormal status effects when landing critical hits.,NA,NA,NA,NA
Charge Master,Weapon Skill,Increases element power and status buildup for charged attacks.,3,Slightly increases elemental damage and status buildup for charged attacks.,Increases elemental damage and status buildup for charged attacks.,Greatly increases elemental damage and status buildup for charged attacks.,NA,NA,NA,NA
Convert Element,Armor Skill,"After taking elemental damage, temporarily grants you dragon element effects. (Cooldown after effect ends.)",3,"While active, deals extra dragon damage after dealing enough elemental damage. Slightly increases dragon attack.",Increases additional dragon damage and increases dragon attack.,Further increases additional dragon damage and greatly increases dragon attack,NA,NA,NA,NA
Handicraft,Decoration Skill,"Extends the weapon sharpness gauge. However, it will not increase the gauge past its maximum.",5,Weapon sharpness +10,Weapon sharpness +20,Weapon sharpness +30,Weapon sharpness +40,Weapon sharpness +50,NA,NA
Razor Sharp,Decoration Skill,Prevents your weapon from losing sharpness.,3,Grants a 10% chance of no sharpness loss.,Grants a 25% chance of no sharpness loss.,Grants a 50% chance of no sharpness loss.,NA,NA,NA,NA
Protective Polish,Weapon Skill,Weapon sharpness does not decrease for a set time after sharpening.,3,Grants no sharpness loss for 30 seconds after activation.,Grants no sharpness loss for 60 seconds after activation.,Grants no sharpness loss for 90 seconds after activation.,NA,NA,NA,NA
Mind's Eye,Decoration Skill,Your attacks are deflected less and deal more damage to hard targets.,3,"50% chance of your attacks not being deflected, +10% damage to hard targets.","100% chance of your attacks not being deflected, +15% damage to hard targets.","100% chance of your attacks not being deflected, +30% damage to hard targets.",NA,NA,NA,NA
Master's Touch,Weapon Skill,Prevents your weapon from losing sharpness during critical hits.,1,Grants an 80% chance of no sharpness loss while active.,NA,NA,NA,NA,NA,NA
Bludgeoner,Decoration Skill,Increases attack power when your weapon sharpness is low.,3,5% attack power when your sharpness gauge is yellow or lower.,10% attack power when your sharpness gauge is yellow or lower.,10% attack power when your sharpness gauge is green or lower.,NA,NA,NA,NA
Normal Shots,Decoration Skill,"Increases the attack power of Normal Ammo, normal arrows, and Flying Swallow Shot.",1,Slightly increases the power of specified ammo and arrows.,NA,NA,NA,NA,NA,NA
Piercing Shots,Decoration Skill,"Increases the attack of the bowgun's Pierce Ammo, and the bow's Dragon Piercer and Thousand Dragons.",1,Slightly increases the power of specified ammo and arrows.,NA,NA,NA,NA,NA,NA
Spread-Power Shots,Decoration Skill,"Increases the attack of the bowgun's Spread Ammo and the bow's Power Shots and Quick Shots.",1,Slightly increases the power of specified ammo and arrows.,NA,NA,NA,NA,NA,NA
Ballistics,Weapon Skill,Extends the range in which ammo and arrows have maximum power.,3,Slightly extends range.,Extends range.,Greatly extends range.,NA,NA,NA,NA
Rapid Fire Up,Decoration Skill,Improves light bowgun rapid fire.,1,Rapid fire damage +5%,NA,NA,NA,NA,NA,NA
Special Ammo Boost,Weapon Skill,"Increases the power of the bowgun's special ammo, and the bow's Dragon Piercer, Thousand Dragons, and Tracer.",2,Moderately increases the power of specified ammo and arrows.,Increases the power of specified ammo and arrows.,NA,NA,NA,NA,NA
Poison Functionality,Decoration Skill,Allows you to apply poison coatings.,1,Lets you use poison coatings.,NA,NA,NA,NA,NA,NA
Para Functionality,Decoration Skill,Allows you to apply paralysis coatings.,1,Lets you use paralysis coatings.,NA,NA,NA,NA,NA,NA
Sleep Functionality,Decoration Skill,Allows you to apply sleep coatings.,1,Lets you use sleep coatings.,NA,NA,NA,NA,NA,NA
Blast Functionality,Decoration Skill,Allows you to apply blast coatings.,1,Lets you use blast coatings.,NA,NA,NA,NA,NA,NA
Opening Shot,Weapon Skill,"Increases the bowgun's reload speed and increases the power of bullets when fully loaded.",3,Moderately increases bowgun reload speed and attack power of ammo when certain conditions are met.,Increases bowgun reload speed and attack power of ammo when certain conditions are met.,Greatly increases bowgun reload speed and attack power of ammo when certain conditions are met.,NA,NA,NA,NA
Tetrad Shot,Weapon Skill,"Increases affinity of bowgun ammo/coatings from the fourth shot and attack of the fourth and sixth shots.",3,Slightly increases the attack power and affinity of ammo after certain conditions are met.,Moderately increases attack power and affinity of ammo after certain conditions are met.,Increases the attack power and affinity of ammo after certain conditions are met.,NA,NA,NA,NA
Evading Reload,Weapon Skill,TBA,NA,TBA,NA,NA,NA,NA,NA,NA
Defense Boost,Armor Skill,Increases defense. Also improves resistances at higher levels.,7,Defense +5,Defense +10,Defense +5% Bonus: +10,Defense +5% Bonus: +20 All elemental resistances +3,Defense +8% Bonus: +20 All elemental resistances +3,Defense +8% Bonus: +35 All elemental resistances +5,Defense +10% Bonus: +35 All elemental resistances +5
Divine Blessing,Armor Skill,Has a predetermined chance of reducing the damage you take.,3,"While active, reduces damage taken by 15%.","While active, reduces damage taken by 30%.","While active, reduces damage taken by 50%.",NA,NA,NA,NA
Fire Resistance,Armor Skill,Increases fire resistance. Also improves defense at higher levels.,3,Fire resistance +6,Fire resistance +12,Fire resistance +20 Defense +10,NA,NA,NA,NA
Water Resistance,Armor Skill,Increases water resistance. Also improves defense at higher levels.,3,Water resistance +6,Water resistance +12,Water resistance +20 Defense +10,NA,NA,NA,NA
Thunder Resistance,Armor Skill,Increases thunder resistance. Also improves defense at higher levels.,3,Thunder resistance +6,Thunder resistance +12,Thunder resistance +20 Defense +10,NA,NA,NA,NA
Ice Resistance,Armor Skill,Increases ice resistance. Also improves defense at higher levels.,3,Ice resistance +6,Ice resistance +12,Ice resistance +20 Defense +10,NA,NA,NA,NA
Dragon Resistance,Armor Skill,Increases dragon resistance. Also improves defense at higher levels.,3,Dragon resistance +6,Dragon resistance +12,Dragon resistance +20 Defense +10,NA,NA,NA,NA
Poison Resistance,Armor Skill,Reduces damage while poisoned.,3,Reduces the number of times you take poison damage.,Greatly reduces the number of times you take poison damage.,Prevents poison.,NA,NA,NA,NA
Paralysis Resistance,Armor Skill,Reduces the duration of paralysis.,3,Reduces the duration of paralysis by 30%.,Reduces the duration of paralysis by 60%.,Prevents paralysis.,NA,NA,NA,NA
Sleep Resistance,Armor Skill,Reduces the duration of sleep.,3,Reduces the duration of sleep by 30%.,Reduces the duration of sleep by 60%.,Prevents sleep.,NA,NA,NA,NA
Iron Skin,Armor Skill,Grants protection against defense down.,3,Reduces the duration of defense down by 50%.,Reduces the duration of defense down by 75%.,Prevents defense down.,NA,NA,NA,NA
Blight Resistance,Armor Skill,Grants protection against all elemental blights.,3,Reduces the duration of all elemental blights by 50%.,Reduces the duration of all elemental blights by 75%.,Nullifies all elemental blights.,NA,NA,NA,NA
Stun Resistance,Armor Skill,Reduces the duration of stun.,3,Reduces the duration of stun by 30%.,Reduces the duration of stun by 60%.,Prevents stun.,NA,NA,NA,NA
Bleeding Resistance,Armor Skill,Grants protection against bleeding.,3,Reduces damage while bleeding.,Greatly reduces damage while bleeding.,Prevents bleeding.,NA,NA,NA,NA
Bind Resistance,Armor Skill,Grants protection against webbed status and frostblight.,3,Allows you to quickly recover from webbed status or frostblight.,Allows you to very quickly recover from webbed status or frostblight.,Prevents webbed status and frostblight.,NA,NA,NA,NA
Blast Resistance,Armor Skill,Grants protection against blastblight.,3,Delays blastblight and reduces blast damage.,Greatly delays blastblight and greatly reduces blast damage.,Prevents blastblight.,NA,NA,NA,NA
Adaptability,Armor Skill,"Grants protection against environmental damage, such as from heat or cold.",2,Negates the effects of heat and cold.,Negates environmental damage.,NA,NA,NA,NA,NA
Recovery Up,Armor Skill,Increases the amount recovered when restoring health.,3,Slightly increases recovery.,Moderately increases recovery.,Greatly increases recovery.,NA,NA,NA,NA
Recovery Speed,Armor Skill,Speeds healing of recoverable damage (the red portion of the Health Gauge).,3,Doubles the speed at which you heal recoverable damage.,Triples the speed at which you heal recoverable damage.,Quadruples the speed at which you heal recoverable damage.,NA,NA,NA,NA
Survival Expert,Armor Skill,Extra health is recovered from environmental interactables.,3,Restores 50 health.,Restores 80 health.,Restores 100 health.,NA,NA,NA,NA
Constitution,Armor Skill,"Reduces stamina depletion when evading, blocking, or doing certain other actions.",5,Reduces fixed stamina depletion by 10%.,Reduces fixed stamina depletion by 20%.,Reduces fixed stamina depletion by 30%.,Reduces fixed stamina depletion by 40%.,Reduces fixed stamina depletion by 50%.,NA,NA
Stamina Surge,Armor Skill,Speeds up stamina recovery.,3,Stamina recovery speed +10%,Stamina recovery speed +30%,Stamina recovery speed +50%,NA,NA,NA,NA
Marathon Runner,Armor Skill,Slows down stamina depletion for actions that continuously drain stamina (such as dashing).,3,Reduces continuous stamina depletion by 15%.,Reduces continuous stamina depletion by 30%.,Reduces continuous stamina depletion by 50%.,NA,NA,NA,NA
Hunger Resistance,Armor Skill,Reduces maximum stamina depletion over time.,3,Extends the time until your stamina cap reduces by 50%.,Extends the time until your stamina cap reduces by 100%.,Prevents your stamina cap from decreasing.,NA,NA,NA,NA
Agitator,Armor Skill,Increases attack power and affinity when large monsters become enraged.,5,Attack +4 and affinity +3% while active.,Attack +8 and affinity +5% while active.,Attack +12 and affinity +7% while active.,Attack +16 and affinity +10% while active.,Attack +20 and affinity +15% while active.,NA,NA
Latent Power,Armor Skill,Temporarily increases affinity and reduces stamina depletion when certain conditions are met.,5,"While active, affinity +10% and reduces stamina depletion by 30%.","While active, affinity +20% and reduces stamina depletion by 30%.","While active, affinity +30% and reduces stamina depletion by 50%.","While active, affinity +40% and reduces stamina depletion by 50%.","While active, affinity +50% and reduces stamina depletion by 50%.",NA,NA
Burst,Armor Skill,"Continuously landing hits gradually increases attack and elemental attack. (Amount increased depends on weapon.)",5,"On first hit, gain a small temporary attack and element boost, replaced by a larger boost after the fifth hit.",Hit 5 successive times for a moderate stat boost.,Hit 5 successive times for a bigger stat boost.,Hit 5 successive times for an even bigger stat boost.,Hit 5 successive times for a huge stat boost.,NA,NA
Flayer,Armor Skill,"Makes it easier to inflict wounds. Upon inflicting enough damage, also deals additional non-elemental damage.",5,Makes it ever so slightly easier to inflict wounds. Also deals additional non-elemental damage.,Makes it moderately easier to inflict wounds. Also deals slightly more additional non-elemental damage.,Makes it easier to inflict wounds. Also deals moderately more additional non-elemental damage.,Makes it much easier to inflict wounds. Also deals more additional non-elemental damage.,Makes it significantly easier to inflict wounds. Also deals much more additional non-elemental damage.,NA,NA
Heroics,Armor Skill,Increases attack power and defense when health drops to 35% or lower.,5,Defense +50 while active.,Attack +5% and defense +50 while active.,Attack +5% and defense +100 while active.,Attack +10% and defense +100 while active.,Attack +30% and defense-increasing effects are negated while active.,NA,NA
Palico Rally,Armor Skill,Powers up Palicoes.,5,Increases Palico attack power and defense by 5%.,Increases Palico attack power and defense by 10%.,Increases Palico attack power and defense by 15%.,Increases Palico attack power and defense by 20%.,Increases Palico attack power and defense by 25%.,NA,NA
Focus,Weapon Skill,"Increases the fill rate for weapons with gauges and the charge rate for weapons with charge attacks.",3,Slightly increases gauge fill rate and reduces charge times by 5%.,Moderately increases gauge fill rate and reduces charge times by 10%.,Increases gauge fill rate and reduces charge times by 15%.,NA,NA,NA,NA
Power Prolonger,Weapon Skill,"Allows long swords, dual blades, insect glaives, switch axes, and charge blades to stay powered up longer.",3,Moderately boosts the duration weapons are powered up.,Boosts the duration weapons are powered up.,Greatly boosts the duration weapons are powered up.,NA,NA,NA,NA
