Song,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Note 9,Note 10,Note 11,Note 12,Note 13,Note 14,Note 15,Note 16,Note 17,Note 18,Note 19,Note 20,Note 21,Note 22,Note 23,Note 24,Note 25,Note 26,Note 27,Note 28,Note 29
Self-Buff,Attack & Defense,Resistance,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamina,Miscellaneous,Special Performance,Echo Bubble,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody,Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Improvement,Increases movement speed. Playing an encore for this Melody Effect will also raise your attack power and prevent your attacks from being deflected.Tier 1: Movement Speed buff onlyTier 2: +20% Raw Attack and prevents attack deflection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody,Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack Up (S),Slightly increases attack damage for all hunters.Tier 1: +2.7% Raw AttackTier 2: +4.5% Raw Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack Up (L),Greatly increases attack damage for all hunters.Tier 1: +4.5% Raw AttackTier 2+10% Raw Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Up (S),Slightly increases Defense for all hunters.Tier 1: +10% DefenseTier 2: +15% Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Up (L),Greatly increases Defense for all hunters.Tier 1: +15% DefenseTier 2: +20% Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elem Attack Boost,Increases the elemental power of your weapon.Tier 1: +8% ElementTier 2: +10% Element,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status Attack Up (S),Increases the potency of Status Ailment attack damage dealt to monsters.Tier 1: +10% Status ElementTier 2: +15% Status Element,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack/Defense Up,"Temporarily boosts attack and defense.Tier 1: +2.7% Raw Attack, +10% DefenseTier 2: +4.5% Raw Attack, +15% DefenseBasically combinesAttack Up (S)andDefense Up (S)in one melody.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affinity Up/Health Recovery,Increases affinity. Slightly recovers health upon activation.Tier 1 & 2: +15% Affinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonic Barrier,"Reduces damage once, and also nullifies wind pressure, ground tremors, and monster roars once.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Protection,Grants a chance of reducing damage taken.Gives the temporary effect ofDivine Blessingto all hunters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody,Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earplugs (S),Grants protection against weak monster roars.Grants temporaryEarplugs2 to all hunters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earplugs (L),Grants protection against strong monster roars.Grants temporaryEarplugs3 to all hunters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stun Negated,Prevents stun.Grants equivalent to temporaryStun Resistance3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremors Negated,Grants protection against ground tremors.Grants equivalent to temporaryTremor Resistance3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis Negated,Prevents paralysis.Grants equivalent to temporaryParalysis Resistance3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind Pressure Negated,Grants protection against wind pressure.Grants temporaryWindproof1 to all hunters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Wind Pressure Negated,Grants immunity against wind pressure.Grants temporaryWindproof3 to all hunters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic/Oilslit Mobility,Prevents being slowed by deep wateror oilslit. Also nullifies effects from waves created by monsters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment Damage Negated,"Nullifies damage taken from lava or spiked terrain, also prevents negative effects from intense heat or cold.All effects apply to all tiers. Tier 2 extends the duration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback Negated,Prevents knockback from enemy attacks.Grants a temporary equivalent toFlinch Free1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
